,Variable,Importance,Variable description,Source
TSL,Transcript support level,26.22664692,The category of support of a given transcript based on mRNA and EST alignments,https://useast.ensembl.org/info/genome/genebuild/transcript_quality_tags.html#tsl
Allele.Expr,Allele expression,25.58697897,RNA Expr * RNA VAF,
RNA.VAF,RNA VAF,20.15006967,Tumor RNA variant allele frequency (VAF) at this position.,
cysteine_count,Cysteine count,18.76619947,Number of Cysteines in the amino acid sequence. Problematic because they can form disulfide bonds across distant parts of the peptide,
Prob.Pos,Problematic position,18.39013329,when a Cystine mutation occurs at the mutation site (0/1),
percentile.MT.class2,Percentile MT class2,13.29969385,Lowest percentile rank of this epitope’s ic50 binding affinity of all prediction algorithms used (those that provide percentile output) -- to class 2 HLA,
IC50.MT.class1,IC50 MT class1,13.16591638,Median or lowest ic50 binding affinity of the best-binding mutant epitope across all prediction algorithms used (binding to Class 1 HLA),
RNA.Expr,RNA expression,11.99653636,Gene expression value for the annotated gene containing the variant.,
RNA.Depth,RNA depth,11.77745237,Tumor RNA depth at this position.,
NetMHCpan.MT.IC50.Score,NetMHCpan MT IC50 score,10.73013907,Binding affinity IC50 information using the NetMHCcons algorithm,
Best.MT.IC50.Score,Best MT IC50 score,10.71434511,Lowest ic50 binding affinity of all prediction algorithms used,
percentile.WT.class2,Percentile WT class2,10.03482425,Median or lowest binding affinity percentile rank of the corresponding wildtype epitope across all prediction algorithms used (those that provide percentile output) -- class2,
NetMHCcons.MT.Percentile,NetMHCcons MT percentile,9.372317184,Binding affinity percentile rank information using the NetMHCcons algorithm,
percentile.MT.class1,Percentile MT class1,9.170985641,Lowest percentile rank of this epitope’s ic50 binding affinity of all prediction algorithms used (those that provide percentile output),
Ref.Match,Reference match,9.058556676,"Whether the best peptide matches one found in the database (the database contains peptides found elsewhere in the body, if a match is found, it is likely the peptide will not induce immune response)",
NetMHCpan.MT.Percentile,NetMHCpan MT percentile,8.840977327,Binding affinity percentile rank information using the NetMHCpan algorithm,
NetMHCcons.MT.IC50.Score,NetMHCcons MT IC50 score,8.366551261,Binding affinity IC50 information using the NetMHCpan algorithm,
Prob.match,Cysteine at problematic position,7.966865626,Whether the Prob.Pos is the same as Pos (0/1) -- is the problematic position mutated,
IC50.MT.class2,IC50 MT class2,7.942736831,Median or lowest ic50 binding affinity of the best-binding mutant epitope across all prediction algorithms used (binding to Class 2 HLA),
DNA.VAF,DNA VAF,7.744758763,DNA variant allele frequency,
