,Variable,Importance,Variable description,Source
TSL,Transcript support level,29.85363473,The category of support of a given transcript based on mRNA and EST alignments,https://useast.ensembl.org/info/genome/genebuild/transcript_quality_tags.html#tsl
Allele.Expr,Allele expression,29.22153893,RNA Expr * RNA VAF,
RNA.VAF,RNA VAF,22.07165399,Tumor RNA variant allele frequency (VAF) at this position.,
cysteine_count,Cysteine count,21.53173309,Number of Cysteines in the amino acid sequence. Problematic because they can form disulfide bonds across distant parts of the peptide,
Prob.Pos,Problematic position,20.46335905,when a Cystine mutation occurs at the mutation site (0/1),
percentile.MT.class2,Percentile MT class2,14.93384837,Lowest percentile rank of this epitope’s ic50 binding affinity of all prediction algorithms used (those that provide percentile output) -- to class 2 HLA,
IC50.MT.class1,IC50 MT class1,14.26982495,Median or lowest ic50 binding affinity of the best-binding mutant epitope across all prediction algorithms used (binding to Class 1 HLA),
RNA.Expr,RNA expression,13.91644114,Gene expression value for the annotated gene containing the variant.,
RNA.Depth,RNA depth,12.51525396,Tumor RNA depth at this position.,
Best.MT.IC50.Score,Best MT IC50 score,12.03585223,Lowest ic50 binding affinity of all prediction algorithms used,
NetMHCcons.MT.Percentile,NetMHCcons MT percentile,11.65134645,Binding affinity percentile rank information using the NetMHCcons algorithm,
percentile.MT.class1,Percentile MT class1,10.89925857,Lowest percentile rank of this epitope’s ic50 binding affinity of all prediction algorithms used (those that provide percentile output),
NetMHCpan.MT.Percentile,NetMHCpan MT percentile,10.79594028,Binding affinity percentile rank information using the NetMHCpan algorithm,
NetMHCpan.MT.IC50.Score,NetMHCpan MT IC50 score,10.72103775,Binding affinity IC50 information using the NetMHCpan algorithm,
percentile.WT.class2,Percentile WT class2,9.035316223,Median or lowest binding affinity percentile rank of the corresponding wildtype epitope across all prediction algorithms used (those that provide percentile output) -- class2,
Prob.match,Mutated problematic position,8.491651117,Whether the Prob.Pos is the same as Pos (0/1) -- is the problematic position mutated,
NetMHCcons.MT.IC50.Score,NetMHCcons MT IC50 score,8.47889858,Binding affinity IC50 information using the NetMHCcons algorithm,
IC50.MT.class2,IC50 MT class2,8.321775844,Median or lowest ic50 binding affinity of the best-binding mutant epitope across all prediction algorithms used (binding to Class 2 HLA),
Num.Passing.Peptides,Number of passing peptides,8.189063104,The number of transcripts for this mutation that resulted in at least one well-binding peptide (median/lowest mutant binding affinity < 500).,
NetMHC.MT.Percentile,NetMHC MT Percentile,8.008334014,Binding affinity percentile rank information using the NetMHC algorithm,
